reference_number,inn,common_ingredients,cas_number,ec_number,product_type,maximum_concentration,other,wording_of_conditions,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
2a,"Thioglycolic acid and its salts","THIOGLYCOLIC ACID",68-11-1,200-677-4,"(a) Hair products

(b) Depilatories

(c) Hair rinse-off products 

(d) Products intended for eyelash waving","(a) (i) 8%    (ii) 11% 

(b) 5% 

(c) 2%
 
(d) 11% The abovementioned percentages are calculated as thioglycollic acid","(a) (i) General use ready for use pH 7 to 9.5        (ii) Professional use ready for use pH 7 to 9.5

(b) ready for use pH 7 to 12.7

(c) ready for use pH 7 to 9.5

(d) ready for use pH 7 to 9,5


","Conditions of use:

(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product comes into contact with them.

(a) (c) (d)
Wear suitable gloves

Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children

(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions’
","(EU) 2015/1190",,"Thioglycolic acid and its salts (TGA)","Thioglycolic acid and its salts","AMMONIUM THIOGLYCOLATE,CALCIUM THIOGLYCOLATE,ETHANOLAMINE THIOGLYCOLATE,MAGNESIUM THIOGLYCOLATE,POTASSIUM THIOGLYCOLATE,SODIUM THIOGLYCOLATE,STRONTIUM THIOGLYCOLATE,THIOGLYCOLIC ACID,CALCIUM THIOGLYCOLATE HYDROXIDE",,27/07/2020
232,"3,5-Diamino-2,6-dimethoxypyridine and its salts","2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL","56216-28-5 - 85679-78-3",260-062-1,"Hair dye substance in oxidative hair dye products",,"After mixing under xidative conditions the maximum concentration applied to hair must not exceed 0.25% (as hydrochloride)","Can cause allergic reaction
","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on 2,6-Dimethoxy-3,5-pyridinediamine HCl,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 2,6-Dimethoxy-3,5-pyridinediamine HCl,Memorandum on Hair Dye Substances and their Skin Sensitising Properties","2,6-Dimethoxy-3,5- pyridinediamine and its hydrochloride","2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL",,22/07/2013
234,"Ethanol, 2-[(4-amino-2-methyl-5-nitrophenyl)amino]- and its salts","HC VIOLET NO 1",82576-75-8,417-600-7,"(a) Hair dye substance in oxidative hair dye products
(b) Hair dye substance in non-oxidative hair dye products
","(b) 0.28%","a) Afther mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.25%
For (a) and (b)
- Do not use with nitrosating agents
- Maximum nitrosamines content: 50 microgram/kg
- Keep in nitrie-free containetrs","Hair colorants can cause severe allergic reactions. 
Read and follow instructions.

","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on HC Violet No. 1,Opinion on 1-Amino-3-methyl-4-(2-hydroxyethyl)-amino-6-nitrobenzene,Memorandum on Hair Dye Substances and their Skin Sensitising Properties","Ethanol, 2-[(4-amino-2-methyl-5-nitrophenyl)amino]- and its salts ","HC VIOLET NO. 1",,24/07/2013
235,"2-[3-(Methylamino)-4-nitrophenoxy]ethanol  (see note 17)",3-METHYLAMINO-4-NITROPHENOXYETHANOL,59820-63-2,261-940-7,"Hair due substance in non-oxidative hair dye products","0 15%","- Do not use with nitrosating agents
- Maximum nitrosamine content: 50 micrograme/Kg
- Keep in nitrite-free containers",,"(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 1-(2-Hydroxyethyloxy)-3-methylamino-4-nitrobenzene,Opinion on 3-Methylamino-4-nitrophenoxyethanol",,3-METHYLAMINO-4-NITROPHENOXYETHANOL,,24/07/2013
236,"2-[(2-methoxy-4-nitrophenyl)amino]ethanol and its salts",2-HYDROXYETHYLAMINO-5-NITROANISOLE,66095-81-6,266-138-0,"Hair dye substance in non-oxidative hair dye products",0.2%%,"- Do not use with nitrosating agents
- Maximum nitrosamine content: 50 microgram/Kg
- Keep in nitrite-free containers",,"(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 2-Hydroxyethylamino-5-nitroanisole,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on 2-Hydroxyethylamino-5-nitroanisole,Opinion on 2-Hydroxyethylamino-5-nitroanisole",,2-HYDROXYETHYLAMINO-5-NITROANISOLE,,24/07/2013
237,"2,2'-[(4-Amino-3-nitrophenyl)imino]bisethanol hydrochloride and its salts","HC RED NO 13","29705-39-3 -  94158-13-1","-- 303-083-4","(a) Hair due substance in oxidative hair dye products
(b) Hair due substance in non-oxidative hair dye products
","(b) 2.5% (as hydro-chloride)
","a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.25% (as hydrochloride)","Hair colourants can cause seere allergic reactions
Read and follow instructions","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on HC Red No. 13,Memorandum on Hair Dye Substances and their Skin Sensitising Properties",,"HC RED NO. 13",,24/07/2013
238,"Naphthalene-1,5-diol and its salts","1,5-NAPHTHALENEDIOL",83-56-7,201-487-4,"a) Hair dye substance in oxidative hair dye products
b) Hair dye substance in non-oxidative hair dye products","b) 1.0%","a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0%","Hair colourants can cause severe allergic reactions
Read and follow instrctions","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 1,5-Dihydroxynaphthalene,Opinion on 1,5-Naphthalenediol,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on 1,5-Naphthalenediol","Naphthalene-1,5-diol and its salts","1,5-NAPHTHALENEDIOL",,24/07/2013
239,"Hydroxypropyl bis(N-hydroxyethyl-p-phenylenediamine) and its tetrahydro-chloride","HYDROXYPROPYL BIS(N-HYDROXYETHYL-P-PHENYLENEDIAMINE) HCL","128729-30-6 -- 128729-28-2",416-320-2,"Hair dye substance in oxidative hair dye products",,"After mixing under oxidative conditions the maximumconcentration applied to hair must not exceed 0.4% (as tetrahydro-chloride)","Hair colourants can cause severe allergic reactions
Read and follow instructions","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on Hydroxypropyl bis(N-hydroxyethyl-p-phenylenediamine),Opinion on Hydroxypropyl bis(N-hydroxyethyl-p-phenylenediamine) HCl,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on Hydroxypropyl bis(N-hydroxyethyl-p-phenylendediamine) HCl",,"HYDROXYPROPYL BIS(N-HYDROXYETHYL-P-PHENYLENEDIAMINE) HCL",,25/07/2013
240,"4-Nitro-1,2-phenylenediamine",4-Nitro-o-Phenylenediamine,99-56-9,202-766-3,"Hair dye substance in oxidative hair dye products",,"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,5%","To be printing on the label:
Hair colorants can cause severe allergic reactions.","(EU) 2013/658",,,"4-Nitro-1,2-phenylenediamine",,,09/09/2013
241,5-Amino-o-cresol,4-AMINO-2-HYDROXYTOLUENE,2835-95-2,220-618-6,"(a) Hair dye substance in oxidative hair dye products
(b) Products intented for colouring eyelashes",,"For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1,5 %
(b) For professional use only.","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions.Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”
(b) To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer:— has a rash on the face or sensitive, irritated and damaged scalp,— has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.”","(EC) 2013/1197",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 4-Amino-2-hydroxytoluene,Memorandum on Hair Dye Substances and their Skin Sensitising Properties",5-Amino-o-cresol,4-AMINO-2-HYDROXYTOLUENE,,12/02/2014
242,"2,4-Diaminophenoxyethanol, its hydrochloride and its sulphate","2,4-DIAMINOPHENOXYETHANOL HCL","70643-19-5 / 66422-95-5 / 70643-20-8","- / 266-357-1 / 274-713-2","(a) Hair dye substance in oxidative hair dye products
(b) Products intended for colouring eyelashes",,"For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2,0 % (as hydrochloride)
(b) For professional use only.","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”
(b) To be printed on the label: The mixing ratio.“For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.”","(EC) 2013/1197",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 2 ,4-Diaminophenoxyethanol HCl,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on 2,4-Diaminophenoxyethanol dihydrochloride and sulfate","2,4-Diaminophenoxyethanol, its hydrochloride and its sulphate","2,4-DIAMINOPHENOXYETHANOL HCL,2,4-DIAMINOPHENOXYETHANOL SULFATE",,14/02/2014
243,"1,3-benzenediol, 2-methyl",2-METHYLRESORCINOL,608-25-3,210-155-8,"(a) Hair dye sub­stance in oxidat­ive hair dye products
(b) Hair dye sub­stance in non-oxidative hair dye products
(c) Products in­tended for col­ouring eyelashes","(b) 1.8 %","(a) After mixing under ox­idative conditions the maximum concentra­tion applied to hair must not exceed 1,8 %
(c) After mixing under ox­idative conditions the maximum concentra­tion applied to eye­lashes must not exceed 1,25 %
(c) Professional use","(a) To be printed on the la­bel: The mixing ratio. “Hair colourants can cause severe allergic reac­tions. Read and follow instruc­tions. This product is not in­tended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irri­tated and damaged scalp, — you have ever experi­enced any reaction after colouring your hair, — you have experienced a  reaction to a tempor­ary ‘black henna’ tattoo in the past.” 
(c) As from 3 March 2018, to be printed on the la­bel: The mixing ratio. “This product can cause severe allergic reactions. Read and follow instruc­tions. This  product is not in­tended for use on persons under the age of 16. Tem­porary ‘black henna’ tattoos may increase the risk of al­lergy. Eyelashes shall not be co­loured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any re­action after colouring hair or eyelashes, — has experienced a reac­tion to a temporary ‘black henna’ tattoo in the past. For professional use only. Rinse eyes immediately if product comes into contact with them” 

","(EU) 2017/237",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 2-Methylresorcinol,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on 2-Methylresorcinol","1,3-benzenediol, 2-methyl",2-METHYLRESORCINOL,,27/07/2020
244,4-Amino-m-cresol,4-AMINO-M-CRESOL,2835-99-6,220-621-2,"(a) Hair dye substance in oxidative hair dye products
(b) Products intended for colouring eyelashes",,"For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1,5 %
b) For professional use only.","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”
(b) To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp,— has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.”","(EC) 2013/1197",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on 4-Amino-m-cresol,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Memorandum on Hair Dye Substances and their Skin Sensitising Properties","4-Amino-m-cresol ",4-AMINO-M-CRESOL,,12/02/2014
